sku,name,category,on_hand
PBB-BSK-001,"Catch Basket - Bigfoot (Deep Long)","Catch Basket",
PBO-BSK-001,"Catch Basket - PB Original","Catch Basket",
PSH1-BSK-001,"Catch Basket - Push 1.0 (Small)","Catch Basket",
SBR-RLR-10x17,"Foam Roller 10""x17.5"" (Push 2.0)","Foam Roller",
SBR-RLR-6x36,"Foam Roller 6""x36"" (Push 1.0 / PB)","Foam Roller",
SBR-RLR-BF,"Foam Roller BF","Foam Roller",
SBR-FRM-PB,"Frame - Pull Behind 45""","Frame",
SBR-FRM-P10,"Frame - Push 1.0 (5 parts) 40""","Frame",
SBR-FRM-P20,"Frame - Push 2.0 (6 parts) 44""","Frame",
SBR-FRM-PCPB,"Powder Coat - Pull Behind","Frame",
SBR-HDW-CHN100,"Chain 100ft","Hardware",
SBR-HDW-CHN5,"Chain 5ft","Hardware",
SBR-HDW-NT1,"Screen Tension Nuts 1""","Hardware",
SBR-HDW-CLIP,"Spring Steel Button Clips","Hardware",
SBR-PKG-BOXBF,"Box Bigfoot (46x20x12"")","Packaging",
SBR-PKG-BOXPB,"Box Pull Behind (46x20x12"")","Packaging",
SBR-PKG-BOXP10,"Box Push 1.0 (26x15x12"")","Packaging",
SBR-PKG-BOXP20,"Box Push 2.0 (26x16x16"")","Packaging",
SBR-PKG-FOAM12,"Foam Roll 1/8"" 12""x350'","Packaging",
SBR-RAW-PVC10,"PVC Pipe 1""x10ft","Raw Material",
SBR-SCR-125,"Conveyer Screen 12.5""","Screen",
SBR-SCR-185,"Conveyer Screen 18.5""","Screen",
SBR-SCR-BF,"Conveyer Screen BF","Screen",
SBR-SLV-12,"Foam Roller Sleeve 12""","Sleeve",
SBR-SLV-18,"Foam Roller Sleeve 18""","Sleeve",
SBR-SLV-BF,"Foam Roller Sleeve BF","Sleeve",
